item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000001,O00001,P0050,3,30456.9,5
OI000002,O00002,P0017,4,39891.83,15
OI000003,O00003,P0022,4,47763.8,30
OI000004,O00003,P0070,2,12356.96,5
OI000005,O00003,P0012,1,21885.95,0
OI000006,O00003,P0021,3,45156.76,15
OI000007,O00004,P0033,4,47587.32,0
OI000008,O00004,P0018,5,31769.02,30
OI000009,O00005,P0043,2,46606.05,0
OI000010,O00006,P0049,4,32782.5,25
OI000011,O00006,P0030,2,13139.92,15
OI000012,O00006,P0012,1,4684.69,10
OI000013,O00007,P0074,3,6589.02,20
OI000014,O00008,P0074,1,15712.25,10
OI000015,O00008,P0050,4,16152.24,20
OI000016,O00008,P0017,5,33271.2,10
OI000017,O00008,P0014,4,707.13,30
OI000018,O00009,P0019,3,41901.53,30
OI000019,O00009,P0059,2,30172.9,5
OI000020,O00009,P0005,5,16176.93,0
OI000021,O00010,P0074,4,31646.08,10
OI000022,O00010,P0064,3,35280.99,25
OI000023,O00010,P0008,3,7846.94,10
OI000024,O00011,P0007,2,42874.75,25
OI000025,O00011,P0039,2,49555.39,25
OI000026,O00012,P0055,4,49518.14,25
OI000027,O00012,P0051,1,26510.26,15
OI000028,O00012,P0037,2,35130.16,25
OI000029,O00013,P0017,3,37675.26,0
OI000030,O00014,P0059,2,28963.58,30
OI000031,O00014,P0062,3,44886.6,10
OI000032,O00014,P0028,2,36832.12,0
OI000033,O00015,P0074,-3,39328.59,5
OI000034,O00015,P0049,4,34052.4,5
OI000035,O00015,P0008,1,17940.3,30
OI000036,O00016,P0007,1,49018.77,20
OI000037,O00016,P0076,4,48493.92,25
OI000038,O00017,P0005,1,12232.56,30
OI000039,O00017,P0039,5,47739.13,25
OI000040,O00018,P0060,4,13942.0,30
OI000041,O00019,P0002,1,6052.22,0
OI000042,O00019,P0063,5,11440.52,30
OI000043,O00019,P0036,1,39768.6,5
OI000044,O00020,P0062,4,15093.58,5
OI000045,O00020,P0013,3,3409.04,5
OI000046,O00020,P0052,1,19841.38,30
OI000047,O00020,P0009,5,41897.91,0
OI000048,O00021,P0016,2,43134.67,5
OI000049,O00021,P0001,5,22499.84,20
OI000050,O00022,P0006,2,28860.28,5
OI000051,O00023,P0072,3,42609.64,0
OI000052,O00024,P0016,5,15104.25,5
OI000053,O00025,P0001,2,15204.85,15
OI000054,O00025,P0069,4,7207.79,30
OI000055,O00025,P0041,5,45561.46,20
OI000056,O00025,P0078,5,25651.87,0
OI000057,O00026,P0031,1,9606.66,15
OI000058,O00027,P0018,5,27715.51,20
OI000059,O00027,P0036,2,36522.94,25
OI000060,O00028,P0071,3,13218.55,5
OI000061,O00029,P0059,1,47250.84,25
OI000062,O00029,P0019,5,10387.2,15
OI000063,O00029,P0025,3,28291.2,5
OI000064,O00029,P0054,2,15988.93,25
OI000065,O00030,P0004,5,12563.01,15
OI000066,O00030,P0016,-1,34277.97,25
OI000067,O00030,P0009,3,32098.83,20
OI000068,O00030,P0043,3,7529.9,10
OI000069,O00031,P0002,1,19013.51,10
OI000070,O00031,P0049,1,39191.0,0
OI000071,O00031,P0023,5,36484.29,15
OI000072,O00032,P0013,5,17607.79,15
OI000073,O00032,P0071,3,30471.48,0
OI000074,O00032,P0022,3,47338.89,25
OI000075,O00032,P0024,3,40352.73,25
OI000076,O00033,P0076,2,13138.29,5
OI000077,O00033,P0017,2,19095.33,15
OI000078,O00033,P0007,3,35448.25,10
