order_id,customer_id,order_date,status,region_code
O00001,C0033,2025-07-13 19:48:07,CANCELLED,WEST
O00002,C0104,2025-01-17 11:13:04,DELIVERED,WEST
O00003,C0412,2025-02-19 11:47:02,DELIVERED,CENTRAL
O00004,C0058,2025-08-11 20:55:49,PLACED,EAST
O00005,C0590,2025-08-28 21:58:46,SHIPPED,CENTRAL
O00006,C0147,2025-11-25 11:19:56,RETURNED,CENTRAL
O00007,C0063,2025-08-15 14:19:17,DELIVERED,CENTRAL
O00008,C0570,2025-06-29 18:43:27,DELIVERED,EAST
O00009,C0427,2026-01-26 20:33:20,DELIVERED,EAST
O00010,C0485,2026-01-21 10:48:34,SHIPPED,SOUTH
O00011,C0475,2025-11-04 21:45:09,RETURNED,CENTRAL
O00012,C0138,2026-02-27 14:35:33,DELIVERED,EAST
O00013,C0461,2025-07-28 13:41:05,CANCELLED,NORTH
O00014,C0053,2026-07-03 19:53:12,SHIPPED,CENTRAL
O00015,C0602,2025-02-10 21:04:12,DELIVERED,CENTRAL
O00016,C0341,2025-08-11 15:13:55,SHIPPED,NORTH
O00017,C0491,2025-08-05 11:47:07,RETURNED,CENTRAL
O00018,C0566,2025-07-29 14:58:15,SHIPPED,EAST
O00019,C0368,2026-01-25 15:34:41,SHIPPED,EAST
O00020,,2026-06-10 15:29:06,CANCELLED,WEST
O00021,C0424,2025-11-24 11:23:20,PLACED,SOUTH
O00022,C0599,2025-05-30 08:16:35,DELIVERED,WEST
O00023,C0236,2025-10-30 10:12:21,DELIVERED,SOUTH
O00024,C0346,2026-05-27 16:41:43,SHIPPED,WEST
O00025,C0361,2026-05-18 15:10:46,PLACED,CENTRAL
O00026,C0556,2026-05-16 10:58:56,RETURNED,NORTH
O00027,C0077,2026-06-21 08:53:54,RETURNED,NORTH
O00028,C0646,2025-01-07 14:08:53,SHIPPED,SOUTH
O00029,C0383,2025-01-10 11:32:29,PLACED,CENTRAL
O00030,C0007,2026-05-10 18:31:01,DELIVERED,WEST
O00031,C0282,2025-01-13 08:33:46,DELIVERED,EAST
O00032,C0441,2025-01-18 16:52:44,CANCELLED,SOUTH
O00033,C0247,2025-04-20 09:33:09,SHIPPED,CENTRAL
O00034,C0407,2025-09-16 21:22:17,PLACED,WEST
O00035,C0232,2026-04-16 17:15:44,SHIPPED,NORTH
O00036,C0387,2025-02-02 09:25:24,DELIVERED,NORTH
O00037,C0512,10-01-2025 19:10:05,CANCELLED,EAST
O00038,C0541,2026-08-03 21:06:57,RETURNED,SOUTH
O00039,C0581,2025-08-05 21:44:56,DELIVERED,NORTH
O00040,,2025-03-18 18:59:17,RETURNED,CENTRAL
O00041,C0323,2025-02-03 10:59:54,PLACED,SOUTH
O00042,C0408,2025-05-28 20:52:45,RETURNED,EAST
O00043,C0399,2025-06-16 17:15:36,DELIVERED,CENTRAL
O00044,C0144,2025-12-06 14:48:47,CANCELLED,NORTH
O00045,C0101,2026-05-28 19:22:03,DELIVERED,NORTH
O00046,C0610,2025-12-15 17:49:39,DELIVERED,EAST
O00047,C0462,2025-01-31 18:17:50,DELIVERED,EAST
O00048,C0600,2026-07-21 14:27:11,DELIVERED,NORTH
O00049,C0076,2025-10-30 20:15:45,PLACED,SOUTH
O00050,C0158,2026-01-25 19:50:40,DELIVERED,EAST
O00051,C0316,2026-01-05 09:05:00,DELIVERED,EAST
O00052,C0442,2025-04-15 10:05:11,DELIVERED,CENTRAL
O00053,C0092,2026-06-09 14:06:01,DELIVERED,NORTH
O00054,C0299,2025-11-29 21:24:00,DELIVERED,NORTH
O00055,C0174,2026-07-27 11:36:33,DELIVERED,SOUTH
O00056,C0505,2025-05-23 12:19:17,PLACED,SOUTH
O00057,C0496,2026-03-22 12:26:19,CANCELLED,EAST
O00058,C0508,2025-09-15 11:46:40,DELIVERED,SOUTH
O00059,C0007,2026-04-14 09:08:19,RETURNED,EAST
O00060,,2026-01-25 20:55:21,DELIVERED,WEST
O00061,C0206,2025-05-20 12:20:38,DELIVERED,SOUTH
O00062,C0649,2026-02-12 13:18:47,DELIVERED,CENTRAL
O00063,C0403,2025-09-06 13:24:17,DELIVERED,CENTRAL
O00064,C0564,2025-07-24 17:34:11,PLACED,WEST
O00065,C0071,2025-08-03 15:51:18,CANCELLED,WEST
O00066,C0248,2026-05-27 10:40:19,SHIPPED,SOUTH
O00067,C0460,2026-03-10 20:24:04,RETURNED,WEST
O00068,C0429,2026-02-15 16:32:59,DELIVERED,EAST
O00069,C0088,2026-07-04 17:40:58,PLACED,SOUTH
O00070,C0046,2025-12-30 10:41:39,DELIVERED,WEST
O00071,C0011,2025-12-06 20:27:06,PLACED,SOUTH
O00072,C0595,2026-06-07 19:33:35,DELIVERED,SOUTH
O00073,C0603,2026-04-02 13:25:29,DELIVERED,SOUTH
O00074,C0303,20-12-2025 08:30:06,DELIVERED,NORTH
O00075,C0357,2025-04-29 21:46:09,SHIPPED,WEST
O00076,C0488,2025-07-31 16:30:22,PLACED,WEST
O00077,C0118,2025-11-23 09:19:02,PLACED,EAST
O00078,C0250,2025-04-22 18:51:10,DELIVERED,CENTRAL
O00079,C0474,2025-06-13 13:35:27,SHIPPED,WEST
O00080,,2025-07-08 10:40:42,DELIVERED,NORTH
O00081,C0399,2025-07-22 15:37:27,PLACED,SOUTH
O00082,C0065,2025-07-30 12:48:45,DELIVERED,CENTRAL
O00083,C0469,2025-07-11 13:20:12,PLACED,WEST
O00084,C0398,2026-06-25 18:20:38,DELIVERED,CENTRAL
O00085,C0469,2025-04-27 13:22:54,DELIVERED,EAST
O00086,C0121,2025-03-28 18:08:20,SHIPPED,NORTH
O00087,C0524,2025-07-07 13:44:09,DELIVERED,CENTRAL
O00088,C0191,2025-05-22 17:24:27,DELIVERED,CENTRAL
O00089,C0296,2025-06-27 16:10:31,PLACED,EAST
O00090,C0368,2026-04-07 17:03:55,RETURNED,WEST
O00091,C0576,2025-05-20 11:52:24,DELIVERED,WEST
O00092,C0455,2026-02-23 18:31:26,DELIVERED,NORTH
