file,record_id,issue,action
orders.csv,O00020,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00037,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00040,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00060,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00074,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00080,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00100,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00111,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00120,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00140,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00148,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00160,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00180,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00185,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00200,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00220,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00222,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00240,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00259,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00260,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00280,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00296,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00300,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00320,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00333,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00340,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00360,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00370,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00380,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00400,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00407,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00420,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00440,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00444,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00460,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00480,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00481,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00500,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00518,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00520,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00540,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00555,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00560,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00580,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00592,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00600,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00620,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00629,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00640,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00660,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00666,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00680,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00700,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00703,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00720,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00740,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00740,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
orders.csv,O00760,Missing customer_id,Replaced with UNKNOWN
orders.csv,O00777,Wrong date format,Converted to YYYY-MM-DD HH:MM:SS
