product_a,product_b,times_bought_together
Mechanical Keyboard,Artificial Intelligence,6
Coffee Maker,Statistics Guide,5
Mechanical Keyboard,Jacket,5
Smart Watch,Mouse,5
Smartphone,Socks,5
Webcam,Statistics Guide,5
Cap,Statistics Guide,4
Casual Trousers,Machine Learning Basics,4
Coffee Maker,Cloud Computing,4
Coffee Maker,Python Programming,4
Cookware Set,Vacuum Cleaner,4
Denim Jeans,Sql Handbook,4
Denim Jeans,Table Lamp,4
Hoodie,Table Lamp,4
Jacket,Casual Trousers,4
Jacket,Office Chair,4
Laptop,Laptop,4
Laptop,Sneakers,4
Laptop,Sneakers,4
Mechanical Keyboard,Socks,4
Mouse,Vacuum Cleaner,4
Power Bank,Hoodie,4
Running Shoes,Running Shoes,4
Smartphone,Laptop,4
Sneakers,Cushion Set,4
Sql Handbook,Artificial Intelligence,4
Storage Box,Clean Code,4
Table Lamp,Python Programming,4
Water Bottle,Machine Learning Basics,4
Water Bottle,Statistics Guide,4
Webcam,Water Bottle,4
Wireless Headphones,Coffee Maker,4
Wireless Headphones,Data Engineering,4
Wireless Headphones,Running Shoes,4
Artificial Intelligence,Database Systems,3
Artificial Intelligence,Statistics Guide,3
Backpack,Statistics Guide,3
Backpack,Statistics Guide,3
Bedsheet Set,Bedsheet Set,3
Bedsheet Set,Cloud Computing,3
Bedsheet Set,Database Systems,3
Bedsheet Set,Python Programming,3
Bluetooth Speaker,Clean Code,3
Bluetooth Speaker,Coffee Maker,3
Bluetooth Speaker,Sneakers,3
Bluetooth Speaker,Table Lamp,3
Cap,Coffee Maker,3
Cap,Sql Handbook,3
Cap,Storage Box,3
Cap,Vacuum Cleaner,3
Cap,Water Bottle,3
Casual Trousers,Cap,3
Casual Trousers,Python Programming,3
Clean Code,Database Systems,3
Clean Code,Database Systems,3
Cloud Computing,Clean Code,3
Coffee Maker,Bedsheet Set,3
Coffee Maker,Cloud Computing,3
Coffee Maker,Machine Learning Basics,3
Coffee Maker,Office Chair,3
Cookware Set,Artificial Intelligence,3
Cookware Set,Cushion Set,3
Cookware Set,Database Systems,3
Cookware Set,Sql Handbook,3
Cookware Set,Vacuum Cleaner,3
Cotton Shirt,Coffee Maker,3
Cotton Shirt,Office Chair,3
Cushion Set,Clean Code,3
Cushion Set,Database Systems,3
Cushion Set,Sql Handbook,3
Data Engineering,Sql Handbook,3
Denim Jeans,Artificial Intelligence,3
Denim Jeans,Backpack,3
Denim Jeans,Coffee Maker,3
Denim Jeans,Coffee Maker,3
Denim Jeans,Denim Jeans,3
Denim Jeans,Office Chair,3
Denim Jeans,Statistics Guide,3
Denim Jeans,Storage Box,3
Denim Jeans,Storage Box,3
Hoodie,Coffee Maker,3
Hoodie,Machine Learning Basics,3
Hoodie,Socks,3
Jacket,Backpack,3
Jacket,Cloud Computing,3
Jacket,Socks,3
Jacket,Sql Handbook,3
Laptop,Backpack,3
Laptop,Bluetooth Speaker,3
Laptop,Cap,3
Laptop,Cap,3
Laptop,Cloud Computing,3
Laptop,Jacket,3
Laptop,Running Shoes,3
Laptop,Socks,3
Laptop,Usb-C Cable,3
Laptop,Wall Clock,3
Laptop,Web Development,3
Laptop,Webcam,3
Laptop,Webcam,3
Machine Learning Basics,Clean Code,3
Mechanical Keyboard,Backpack,3
Mechanical Keyboard,Cookware Set,3
Mechanical Keyboard,Cotton Shirt,3
Mechanical Keyboard,Jacket,3
Mechanical Keyboard,Python Programming,3
Mechanical Keyboard,Running Shoes,3
Mechanical Keyboard,Webcam,3
Mouse,Cap,3
Mouse,Cloud Computing,3
Mouse,Cloud Computing,3
Mouse,Cookware Set,3
Mouse,Database Systems,3
Mouse,Jacket,3
Mouse,Running Shoes,3
Mouse,Sneakers,3
Mouse,Sneakers,3
Mouse,Storage Box,3
Power Bank,Artificial Intelligence,3
Power Bank,Casual Trousers,3
Power Bank,Database Systems,3
Power Bank,Denim Jeans,3
Power Bank,Hoodie,3
Power Bank,Mouse,3
Power Bank,Python Programming,3
Power Bank,Socks,3
Python Programming,Data Engineering,3
Python Programming,Statistics Guide,3
Running Shoes,Bedsheet Set,3
Running Shoes,Vacuum Cleaner,3
Smart Watch,Coffee Maker,3
Smart Watch,Cotton Shirt,3
Smart Watch,Database Systems,3
Smart Watch,Power Bank,3
Smart Watch,Webcam,3
Smartphone,Artificial Intelligence,3
Smartphone,Casual Trousers,3
Smartphone,Cloud Computing,3
Smartphone,Cloud Computing,3
Smartphone,Cotton Shirt,3
Smartphone,Cushion Set,3
Smartphone,Machine Learning Basics,3
Smartphone,Mechanical Keyboard,3
Smartphone,Sql Handbook,3
Smartphone,Statistics Guide,3
Smartphone,Table Lamp,3
Smartphone,Vacuum Cleaner,3
Smartphone,Web Development,3
Sneakers,Bedsheet Set,3
Sneakers,Bedsheet Set,3
Sneakers,Cookware Set,3
Sneakers,Python Programming,3
Sneakers,Water Bottle,3
Socks,Bedsheet Set,3
Socks,Cookware Set,3
Socks,Data Engineering,3
Socks,Python Programming,3
Socks,Storage Box,3
Statistics Guide,Web Development,3
Storage Box,Artificial Intelligence,3
Storage Box,Machine Learning Basics,3
Usb-C Cable,Cloud Computing,3
Usb-C Cable,Hoodie,3
Usb-C Cable,Power Bank,3
Usb-C Cable,Power Bank,3
Usb-C Cable,Running Shoes,3
Vacuum Cleaner,Python Programming,3
Wall Clock,Data Engineering,3
Wall Clock,Machine Learning Basics,3
Wall Clock,Python Programming,3
Water Bottle,Clean Code,3
Water Bottle,Cushion Set,3
Water Bottle,Data Engineering,3
Web Development,Database Systems,3
Webcam,Cloud Computing,3
Webcam,Data Engineering,3
Webcam,Hoodie,3
Webcam,Jacket,3
