region_code,order_date,daily_revenue,running_total
CENTRAL,2025-01-06,161906.89,161906.89
CENTRAL,2025-01-07,314004.78,475911.66
CENTRAL,2025-01-08,144126.3,620037.97
CENTRAL,2025-01-10,184197.04,804235.01
CENTRAL,2025-01-13,101684.23,905919.24
CENTRAL,2025-01-16,196079.85,1101999.09
CENTRAL,2025-01-17,265871.42,1367870.51
CENTRAL,2025-01-21,81611.5,1449482.01
CENTRAL,2025-01-27,11983.99,1461466.0
CENTRAL,2025-02-02,165268.8,1626734.79
CENTRAL,2025-02-07,46231.77,1672966.56
CENTRAL,2025-02-08,-14820.83,1658145.73
CENTRAL,2025-02-10,29870.85,1688016.58
CENTRAL,2025-02-13,196273.08,1884289.67
CENTRAL,2025-02-17,130291.42,2014581.09
CENTRAL,2025-02-19,326505.04,2341086.13
CENTRAL,2025-02-25,170663.58,2511749.71
CENTRAL,2025-02-27,112971.84,2624721.55
CENTRAL,2025-03-02,128728.7,2753450.25
CENTRAL,2025-03-07,279970.94,3033421.19
CENTRAL,2025-03-14,27738.11,3061159.3
CENTRAL,2025-03-16,248224.31,3309383.61
CENTRAL,2025-03-18,423959.56,3733343.17
CENTRAL,2025-03-20,132585.42,3865928.59
CENTRAL,2025-03-21,158502.48,4024431.07
CENTRAL,2025-03-28,319622.11,4344053.18
CENTRAL,2025-03-29,230937.85,4574991.02
CENTRAL,2025-04-02,108355.64,4683346.67
CENTRAL,2025-04-04,5282.25,4688628.92
CENTRAL,2025-04-06,5500.92,4694129.84
CENTRAL,2025-04-08,558051.34,5252181.18
CENTRAL,2025-04-09,131953.47,5384134.65
CENTRAL,2025-04-10,251830.85,5635965.49
CENTRAL,2025-04-13,191096.91,5827062.41
CENTRAL,2025-04-15,219026.98,6046089.39
CENTRAL,2025-04-20,287703.12,6333792.51
CENTRAL,2025-04-22,91442.11,6425234.62
CENTRAL,2025-04-23,344432.22,6769666.83
CENTRAL,2025-04-24,144964.51,6914631.35
CENTRAL,2025-05-01,33619.47,6948250.82
CENTRAL,2025-05-02,125503.46,7073754.28
CENTRAL,2025-05-03,13747.02,7087501.3
CENTRAL,2025-05-05,652150.68,7739651.97
CENTRAL,2025-05-07,100865.44,7840517.41
CENTRAL,2025-05-09,272067.58,8112584.99
CENTRAL,2025-05-12,291032.9,8403617.89
CENTRAL,2025-05-19,378903.88,8782521.77
CENTRAL,2025-05-21,223481.47,9006003.25
CENTRAL,2025-05-22,490806.04,9496809.28
CENTRAL,2025-05-26,459873.3,9956682.58
CENTRAL,2025-05-27,286111.55,10242794.13
CENTRAL,2025-06-02,407679.61,10650473.74
CENTRAL,2025-06-05,57093.96,10707567.7
CENTRAL,2025-06-06,111481.91,10819049.61
CENTRAL,2025-06-07,157964.86,10977014.47
CENTRAL,2025-06-15,96630.36,11073644.83
CENTRAL,2025-06-16,5068.69,11078713.52
CENTRAL,2025-06-23,21266.0,11099979.52
CENTRAL,2025-06-27,66612.97,11166592.49
CENTRAL,2025-07-04,498290.34,11664882.84
CENTRAL,2025-07-05,243759.28,11908642.12
CENTRAL,2025-07-07,152666.57,12061308.69
CENTRAL,2025-07-11,66853.12,12128161.82
CENTRAL,2025-07-15,191469.69,12319631.5
CENTRAL,2025-07-16,257206.3,12576837.81
CENTRAL,2025-07-17,543514.04,13120351.85
CENTRAL,2025-07-24,124228.0,13244579.85
CENTRAL,2025-07-26,388151.48,13632731.33
CENTRAL,2025-07-30,-80703.24,13552028.09
CENTRAL,2025-08-05,285537.61,13837565.7
CENTRAL,2025-08-06,94835.32,13932401.02
CENTRAL,2025-08-08,219708.34,14152109.36
CENTRAL,2025-08-09,240586.8,14392696.15
CENTRAL,2025-08-12,69622.58,14462318.73
CENTRAL,2025-08-13,406280.24,14868598.97
CENTRAL,2025-08-14,240184.01,15108782.98
CENTRAL,2025-08-15,15813.65,15124596.63
CENTRAL,2025-08-19,93074.97,15217671.6
CENTRAL,2025-08-24,8633.53,15226305.13
CENTRAL,2025-08-25,159850.15,15386155.28
CENTRAL,2025-08-28,93212.1,15479367.38
CENTRAL,2025-08-30,300743.79,15780111.17
CENTRAL,2025-08-31,151003.71,15931114.87
CENTRAL,2025-09-06,58723.33,15989838.2
CENTRAL,2025-09-08,61231.35,16051069.55
CENTRAL,2025-09-09,463609.04,16514678.59
CENTRAL,2025-09-10,64209.07,16578887.66
CENTRAL,2025-09-11,167854.6,16746742.27
CENTRAL,2025-09-17,115879.48,16862621.75
CENTRAL,2025-09-22,153111.16,17015732.91
CENTRAL,2025-09-23,106363.31,17122096.22
CENTRAL,2025-09-25,154263.37,17276359.59
CENTRAL,2025-09-27,132352.82,17408712.41
CENTRAL,2025-09-28,183602.07,17592314.48
CENTRAL,2025-09-30,143520.39,17735834.86
CENTRAL,2025-10-01,82441.68,17818276.55
CENTRAL,2025-10-03,157690.99,17975967.54
CENTRAL,2025-10-09,370513.41,18346480.95
CENTRAL,2025-10-10,3700.9,18350181.85
CENTRAL,2025-10-11,184699.89,18534881.74
CENTRAL,2025-10-29,661983.04,19196864.78
CENTRAL,2025-11-03,276884.01,19473748.79
CENTRAL,2025-11-04,138645.21,19612394.0
CENTRAL,2025-11-05,180874.4,19793268.4
CENTRAL,2025-11-06,182421.37,19975689.77
CENTRAL,2025-11-07,221532.0,20197221.78
CENTRAL,2025-11-09,86783.34,20284005.12
CENTRAL,2025-11-11,694832.51,20978837.62
CENTRAL,2025-11-13,224521.79,21203359.41
CENTRAL,2025-11-17,265930.47,21469289.88
CENTRAL,2025-11-20,12808.24,21482098.12
CENTRAL,2025-11-24,340647.69,21822745.81
CENTRAL,2025-11-25,124901.58,21947647.4
CENTRAL,2025-11-27,40584.88,21988232.28
CENTRAL,2025-11-28,298146.37,22286378.65
CENTRAL,2025-11-29,250348.52,22536727.17
CENTRAL,2025-11-30,65987.76,22602714.93
CENTRAL,2025-12-04,292766.96,22895481.88
CENTRAL,2025-12-06,86688.53,22982170.41
CENTRAL,2025-12-12,17858.04,23000028.46
CENTRAL,2025-12-13,178047.69,23178076.14
CENTRAL,2025-12-14,103127.87,23281204.01
CENTRAL,2025-12-24,210614.92,23491818.93
CENTRAL,2025-12-27,276784.2,23768603.13
CENTRAL,2025-12-29,93864.89,23862468.02
CENTRAL,2025-12-31,274451.33,24136919.35
CENTRAL,2026-01-03,700122.85,24837042.2
CENTRAL,2026-01-05,419248.89,25256291.09
CENTRAL,2026-01-08,176493.08,25432784.17
CENTRAL,2026-01-13,44384.59,25477168.76
CENTRAL,2026-01-14,468154.7,25945323.46
CENTRAL,2026-01-17,268286.63,26213610.09
CENTRAL,2026-01-18,238824.07,26452434.15
CENTRAL,2026-01-20,117698.11,26570132.26
CENTRAL,2026-01-26,454288.28,27024420.54
CENTRAL,2026-01-27,341565.25,27365985.79
