month,value_category,customer_count
2025-01,High,54
2025-01,Medium,1
2025-01,Low,1
2025-02,High,49
2025-02,Low,3
2025-03,High,46
2025-03,Medium,1
2025-03,Low,1
2025-04,High,49
2025-04,Medium,2
2025-04,Low,3
2025-05,High,60
2025-05,Low,1
2025-06,High,56
2025-06,Medium,2
2025-07,High,58
2025-07,Low,2
2025-08,High,65
2025-08,Medium,3
2025-08,Low,1
2025-09,High,55
2025-09,Medium,1
2025-09,Low,2
2025-10,High,51
2025-10,Low,2
2025-11,High,62
2025-11,Medium,1
2025-11,Low,2
2025-12,High,50
2025-12,Medium,2
2025-12,Low,1
2026-01,High,61
2026-01,Medium,2
2026-01,Low,1
2026-02,High,42
2026-02,Low,3
2026-03,High,49
2026-03,Medium,2
2026-03,Low,3
2026-04,High,47
2026-04,Low,2
2026-05,High,77
2026-05,Medium,2
2026-05,Low,1
2026-06,High,53
2026-06,Medium,1
2026-07,High,47
2026-07,Low,1
2026-08,High,12
