customer_id,total_value,quartile,quartile_label
C0551,1536737.57,1,Platinum
C0393,1323056.46,1,Platinum
C0490,1224253.4,1,Platinum
C0329,1033869.78,1,Platinum
C0559,984321.84,1,Platinum
C0468,979960.17,1,Platinum
C0412,968921.09,1,Platinum
C0488,968780.36,1,Platinum
C0441,965349.01,1,Platinum
C0092,945929.79,1,Platinum
C0487,938325.33,1,Platinum
C0191,932681.46,1,Platinum
C0583,931956.76,1,Platinum
C0462,912637.92,1,Platinum
C0117,911978.28,1,Platinum
C0367,899918.12,1,Platinum
C0400,865967.35,1,Platinum
C0494,862214.99,1,Platinum
C0398,853910.08,1,Platinum
C0499,841682.65,1,Platinum
C0142,830192.38,1,Platinum
C0587,825520.96,1,Platinum
C0628,825302.12,1,Platinum
C0335,818428.12,1,Platinum
C0039,818259.9,1,Platinum
C0316,812601.99,1,Platinum
C0025,805438.42,1,Platinum
C0383,780114.79,1,Platinum
C0180,765776.04,1,Platinum
C0185,765432.19,1,Platinum
C0435,764694.4,1,Platinum
C0104,764693.8,1,Platinum
C0368,763496.26,1,Platinum
C0136,760242.18,1,Platinum
C0463,751346.36,1,Platinum
C0241,747794.52,1,Platinum
C0475,744505.23,1,Platinum
C0567,736041.76,1,Platinum
C0469,722268.27,1,Platinum
C0642,710683.29,1,Platinum
C0093,707190.8,1,Platinum
C0153,705728.95,1,Platinum
C0403,702197.16,1,Platinum
C0573,687693.44,1,Platinum
C0080,684348.98,1,Platinum
C0242,683661.84,1,Platinum
C0648,680918.65,1,Platinum
C0166,680831.04,1,Platinum
C0140,676234.11,1,Platinum
C0610,674181.45,1,Platinum
C0477,670879.74,1,Platinum
C0265,670690.21,1,Platinum
C0596,668388.08,1,Platinum
C0384,666660.95,1,Platinum
C0340,660015.97,1,Platinum
C0438,656961.48,1,Platinum
C0605,649310.74,1,Platinum
C0291,645911.84,1,Platinum
C0146,640857.21,1,Platinum
C0043,639510.69,1,Platinum
C0615,637639.49,1,Platinum
C0445,636152.16,1,Platinum
C0138,630518.86,1,Platinum
C0539,629003.53,1,Platinum
C0631,626673.7,1,Platinum
C0548,626486.24,1,Platinum
C0541,624410.87,1,Platinum
C0546,618779.23,1,Platinum
C0537,617870.27,1,Platinum
C0236,615535.93,1,Platinum
C0550,612178.16,1,Platinum
C0088,611721.03,1,Platinum
C0045,607487.78,1,Platinum
C0306,604678.12,1,Platinum
C0228,599371.27,1,Platinum
C0394,596727.75,1,Platinum
C0429,596706.06,1,Platinum
C0554,592724.43,1,Platinum
C0157,591464.41,1,Platinum
C0050,588888.99,1,Platinum
C0011,587698.34,1,Platinum
C0069,586754.6,1,Platinum
C0509,583151.12,1,Platinum
C0447,581341.96,1,Platinum
C0508,580710.09,1,Platinum
C0387,579150.9,1,Platinum
C0257,578356.27,1,Platinum
C0389,577963.71,1,Platinum
C0422,575941.69,1,Platinum
C0434,573971.29,1,Platinum
C0399,572721.62,1,Platinum
C0495,570040.44,1,Platinum
C0347,569209.33,1,Platinum
C0513,565187.91,1,Platinum
C0192,561865.31,1,Platinum
C0323,557285.71,1,Platinum
C0302,556393.64,1,Platinum
C0149,556061.32,1,Platinum
C0280,546164.09,1,Platinum
C0115,545545.88,1,Platinum
C0051,542925.57,1,Platinum
C0211,540435.05,1,Platinum
C0175,540417.21,1,Platinum
C0021,537105.78,1,Platinum
C0162,536070.8,1,Platinum
C0124,530578.75,1,Platinum
C0407,530152.71,1,Platinum
C0173,530118.68,1,Platinum
C0072,529249.09,1,Platinum
C0564,527779.09,1,Platinum
C0470,522439.02,1,Platinum
C0272,518226.34,1,Platinum
C0193,517040.93,1,Platinum
C0167,514932.37,1,Platinum
C0584,512084.29,1,Platinum
C0603,510430.92,1,Platinum
C0348,509628.05,1,Platinum
C0491,508239.04,1,Platinum
C0547,507365.81,1,Platinum
C0106,506301.52,1,Platinum
C0046,506058.23,1,Platinum
C0408,500552.94,1,Platinum
C0526,499974.85,1,Platinum
C0424,498858.19,1,Platinum
C0067,496429.46,1,Platinum
C0620,490276.51,1,Platinum
C0568,489702.82,1,Platinum
C0455,489170.21,1,Platinum
C0256,488096.33,1,Platinum
C0154,484256.42,1,Platinum
C0609,484099.85,1,Platinum
C0452,481320.61,1,Platinum
C0186,480337.7,1,Platinum
C0442,479556.45,1,Platinum
C0079,477959.02,2,Gold
C0008,474541.39,2,Gold
C0165,473880.36,2,Gold
C0318,473015.94,2,Gold
C0109,472052.05,2,Gold
C0002,469412.52,2,Gold
C0536,468304.06,2,Gold
C0096,467235.48,2,Gold
C0298,463426.31,2,Gold
C0572,461904.75,2,Gold
C0425,456369.29,2,Gold
C0062,456163.59,2,Gold
C0621,449133.19,2,Gold
C0562,445896.65,2,Gold
C0365,445224.47,2,Gold
C0215,443652.71,2,Gold
C0428,443548.26,2,Gold
C0208,443053.44,2,Gold
C0312,442471.5,2,Gold
C0417,438880.27,2,Gold
C0009,438595.5,2,Gold
C0168,436467.48,2,Gold
C0132,435400.52,2,Gold
C0054,431027.42,2,Gold
C0593,429224.65,2,Gold
C0156,427528.97,2,Gold
C0031,426237.55,2,Gold
C0001,426095.3,2,Gold
C0414,425342.22,2,Gold
C0182,424713.05,2,Gold
C0553,421191.39,2,Gold
C0301,420517.55,2,Gold
C0212,419289.81,2,Gold
C0581,418927.2,2,Gold
C0404,414956.26,2,Gold
C0321,412643.6,2,Gold
C0010,408859.55,2,Gold
C0090,408163.44,2,Gold
C0385,398062.55,2,Gold
C0255,396247.67,2,Gold
C0345,395283.69,2,Gold
C0141,391698.23,2,Gold
C0155,391076.18,2,Gold
C0524,389044.57,2,Gold
C0377,389012.89,2,Gold
C0034,388554.76,2,Gold
C0082,388220.79,2,Gold
C0148,388197.91,2,Gold
C0505,386744.8,2,Gold
C0262,385342.76,2,Gold
C0415,384842.54,2,Gold
C0538,384508.55,2,Gold
C0472,381980.77,2,Gold
C0454,380318.82,2,Gold
C0230,377016.59,2,Gold
C0110,376663.87,2,Gold
C0529,373864.22,2,Gold
C0649,368613.0,2,Gold
C0372,368198.26,2,Gold
C0320,367434.22,2,Gold
C0246,364656.46,2,Gold
C0336,362687.21,2,Gold
C0036,361642.56,2,Gold
C0457,360212.12,2,Gold
C0431,359996.85,2,Gold
C0590,358371.65,2,Gold
C0101,357412.45,2,Gold
C0361,356535.25,2,Gold
C0485,353820.73,2,Gold
C0327,353753.6,2,Gold
C0237,353751.67,2,Gold
C0135,352661.18,2,Gold
C0638,351275.86,2,Gold
C0103,349183.74,2,Gold
C0574,347956.48,2,Gold
C0430,347054.18,2,Gold
C0586,346730.58,2,Gold
C0147,346433.59,2,Gold
C0172,344754.28,2,Gold
C0322,344111.24,2,Gold
C0346,342421.55,2,Gold
C0600,338656.38,2,Gold
C0232,336919.47,2,Gold
C0169,336417.38,2,Gold
C0209,335708.98,2,Gold
C0465,334374.05,2,Gold
C0144,334312.4,2,Gold
C0299,331292.28,2,Gold
C0591,329042.26,2,Gold
C0427,328904.4,2,Gold
C0159,328026.12,2,Gold
C0206,327160.87,2,Gold
C0334,325901.38,2,Gold
C0174,325127.67,2,Gold
C0482,323764.32,2,Gold
C0052,321968.38,2,Gold
C0134,320640.76,2,Gold
C0627,319356.71,2,Gold
C0397,319025.36,2,Gold
C0351,318470.96,2,Gold
C0458,317137.99,2,Gold
C0324,315669.51,2,Gold
C0137,315320.18,2,Gold
C0161,315007.43,2,Gold
C0247,311257.7,2,Gold
C0290,310107.76,2,Gold
C0582,309497.09,2,Gold
C0245,307548.78,2,Gold
C0401,307371.79,2,Gold
C0240,306715.22,2,Gold
C0481,305897.28,2,Gold
C0440,305317.59,2,Gold
C0095,305297.16,2,Gold
C0061,303361.96,2,Gold
C0461,303344.05,2,Gold
C0636,303143.19,2,Gold
C0527,301749.22,2,Gold
C0532,301727.46,2,Gold
C0058,301540.85,2,Gold
C0276,301409.25,2,Gold
C0296,300617.99,2,Gold
C0111,299610.78,2,Gold
C0099,298599.06,2,Gold
C0634,298419.24,2,Gold
C0190,296976.0,2,Gold
C0282,295202.27,2,Gold
C0199,293999.93,2,Gold
C0123,292823.93,2,Gold
C0125,292440.26,2,Gold
C0371,291778.51,2,Gold
