year,month,revenue,prev_year_revenue,yoy_growth_percent
2025,1,10100572.52,,
2025,2,8202719.51,,
2025,3,8713652.2,,
2025,4,9200197.27,,
2025,5,11661802.06,,
2025,6,8919068.23,,
2025,7,10928822.43,,
2025,8,12779122.99,,
2025,9,8913664.3,,
2025,10,8618979.33,,
2025,11,11777794.19,,
2025,12,8486713.0,,
2026,1,12712062.02,10100572.52,25.85
2026,2,6412541.13,8202719.51,-21.82
2026,3,11157784.81,8713652.2,28.05
2026,4,8484011.68,9200197.27,-7.78
2026,5,13356086.07,11661802.06,14.53
2026,6,8015632.07,8919068.23,-10.13
2026,7,9117323.63,10928822.43,-16.58
2026,8,2372544.97,12779122.99,-81.43
