customer_id,first_category,last_category,category_shift
C0001,Clothing,Books,Yes
C0002,Books,Home,Yes
C0004,Electronics,Clothing,Yes
C0007,Home,Home,No
C0008,Home,Electronics,Yes
C0009,Home,Books,Yes
C0010,Home,Electronics,Yes
C0011,Home,Home,No
C0012,Books,Books,No
C0013,Clothing,Home,Yes
C0014,Clothing,Books,Yes
C0015,Books,Home,Yes
C0016,Clothing,Clothing,No
C0017,Books,Books,No
C0018,Clothing,Electronics,Yes
C0021,Home,Electronics,Yes
C0025,Electronics,Home,Yes
C0027,Clothing,Clothing,No
C0028,Electronics,Clothing,Yes
C0029,Home,Home,No
C0030,Electronics,Electronics,No
C0031,Clothing,Books,Yes
C0032,Home,Home,No
C0033,Home,Electronics,Yes
C0034,Electronics,Books,Yes
C0035,Electronics,Clothing,Yes
C0036,Clothing,Electronics,Yes
C0037,Clothing,Clothing,No
C0039,Home,Home,No
C0041,Books,Books,No
C0043,Electronics,Books,Yes
C0044,Clothing,Home,Yes
C0045,Books,Home,Yes
C0046,Clothing,Books,Yes
C0047,Clothing,Books,Yes
C0048,Clothing,Clothing,No
C0049,Clothing,Home,Yes
C0050,Home,Home,No
C0051,Electronics,Electronics,No
C0052,Books,Books,No
C0053,Home,Clothing,Yes
C0054,Home,Clothing,Yes
C0055,Home,Clothing,Yes
C0056,Clothing,Books,Yes
C0057,Home,Books,Yes
C0058,Clothing,Electronics,Yes
C0061,Electronics,Books,Yes
C0062,Electronics,Home,Yes
C0063,Books,Clothing,Yes
C0064,Books,Books,No
C0065,Electronics,Electronics,No
C0066,Books,Clothing,Yes
C0067,Books,Home,Yes
C0068,Electronics,Electronics,No
C0069,Electronics,Home,Yes
C0070,Books,Clothing,Yes
C0071,Home,Home,No
C0072,Electronics,Home,Yes
C0073,Clothing,Electronics,Yes
C0074,Electronics,Home,Yes
C0075,Books,Books,No
C0076,Clothing,Clothing,No
C0077,Electronics,Clothing,Yes
C0079,Clothing,Electronics,Yes
C0080,Books,Electronics,Yes
C0081,Electronics,Electronics,No
C0082,Books,Books,No
C0083,Home,Clothing,Yes
C0086,Clothing,Electronics,Yes
C0087,Books,Electronics,Yes
C0088,Clothing,Electronics,Yes
C0089,Electronics,Clothing,Yes
C0090,Electronics,Books,Yes
C0091,Electronics,Books,Yes
C0092,Clothing,Books,Yes
C0093,Electronics,Books,Yes
C0094,Clothing,Electronics,Yes
C0095,Home,Books,Yes
C0096,Home,Clothing,Yes
C0097,Electronics,Electronics,No
C0098,Books,Clothing,Yes
C0099,Electronics,Clothing,Yes
C0101,Clothing,Electronics,Yes
C0102,Books,Clothing,Yes
C0103,Books,Electronics,Yes
C0104,Electronics,Clothing,Yes
C0105,Electronics,Electronics,No
C0106,Electronics,Home,Yes
C0107,Clothing,Electronics,Yes
C0108,Electronics,Electronics,No
C0109,Clothing,Books,Yes
C0110,Books,Clothing,Yes
C0111,Clothing,Electronics,Yes
C0112,Books,Books,No
C0113,Electronics,Electronics,No
C0115,Books,Clothing,Yes
C0117,Books,Books,No
C0118,Books,Home,Yes
C0120,Electronics,Clothing,Yes
C0121,Clothing,Books,Yes
C0123,Electronics,Books,Yes
C0124,Books,Books,No
C0125,Electronics,Electronics,No
C0126,Electronics,Electronics,No
C0127,Home,Home,No
C0128,Home,Clothing,Yes
C0129,Home,Home,No
C0130,Books,Books,No
C0132,Clothing,Books,Yes
C0134,Clothing,Clothing,No
C0135,Electronics,Books,Yes
C0136,Electronics,Home,Yes
C0137,Electronics,Clothing,Yes
C0138,Clothing,Clothing,No
C0139,Electronics,Books,Yes
C0140,Electronics,Electronics,No
C0141,Clothing,Clothing,No
C0142,Clothing,Home,Yes
C0144,Clothing,Home,Yes
C0145,Electronics,Electronics,No
C0146,Home,Home,No
C0147,Home,Electronics,Yes
C0148,Clothing,Home,Yes
C0149,Home,Clothing,Yes
C0150,Home,Home,No
C0151,Clothing,Electronics,Yes
C0152,Home,Electronics,Yes
C0153,Home,Home,No
C0154,Home,Clothing,Yes
C0155,Home,Clothing,Yes
C0156,Books,Home,Yes
C0157,Home,Clothing,Yes
C0158,Home,Books,Yes
C0159,Clothing,Electronics,Yes
C0160,Books,Books,No
C0161,Clothing,Electronics,Yes
C0162,Clothing,Home,Yes
C0163,Home,Clothing,Yes
C0164,Electronics,Books,Yes
