customer_id,revenue,cumulative_revenue,cumulative_percent
C0551,1536737.57,1536737.57,0.85
C0393,1323056.46,2859794.02,1.58
C0490,1224253.4,4084047.42,2.26
C0329,1033869.78,5117917.21,2.83
C0559,984321.84,6102239.04,3.38
C0468,979960.17,7082199.22,3.92
C0412,968921.09,8051120.31,4.46
C0488,968780.36,9019900.67,4.99
C0441,965349.01,9985249.68,5.53
C0092,945929.79,10931179.47,6.05
C0487,938325.33,11869504.79,6.57
C0191,932681.46,12802186.26,7.08
C0583,931956.76,13734143.02,7.6
C0462,912637.92,14646780.94,8.11
C0117,911978.28,15558759.21,8.61
C0367,899918.12,16458677.33,9.11
C0400,865967.35,17324644.69,9.59
C0494,862214.99,18186859.68,10.06
C0398,853910.08,19040769.75,10.54
C0499,841682.65,19882452.4,11.0
C0142,830192.38,20712644.78,11.46
C0587,825520.96,21538165.74,11.92
C0628,825302.12,22363467.86,12.38
C0335,818428.12,23181895.98,12.83
C0039,818259.9,24000155.88,13.28
C0316,812601.99,24812757.88,13.73
C0025,805438.42,25618196.3,14.18
C0383,780114.79,26398311.09,14.61
C0180,765776.04,27164087.13,15.03
C0185,765432.19,27929519.32,15.46
C0435,764694.4,28694213.71,15.88
C0104,764693.8,29458907.52,16.3
C0368,763496.26,30222403.78,16.73
C0136,760242.18,30982645.96,17.15
C0463,751346.36,31733992.32,17.56
C0241,747794.52,32481786.84,17.98
C0475,744505.23,33226292.07,18.39
C0567,736041.76,33962333.83,18.79
C0469,722268.27,34684602.11,19.19
C0642,710683.29,35395285.39,19.59
C0093,707190.8,36102476.19,19.98
C0153,705728.95,36808205.14,20.37
C0403,702197.16,37510402.3,20.76
C0573,687693.44,38198095.73,21.14
C0080,684348.98,38882444.71,21.52
C0242,683661.84,39566106.55,21.9
C0648,680918.65,40247025.2,22.27
C0166,680831.04,40927856.24,22.65
C0140,676234.11,41604090.36,23.02
C0610,674181.45,42278271.81,23.4
C0477,670879.74,42949151.55,23.77
C0265,670690.21,43619841.76,24.14
C0596,668388.08,44288229.84,24.51
C0384,666660.95,44954890.79,24.88
C0340,660015.97,45614906.76,25.24
C0438,656961.48,46271868.24,25.61
C0605,649310.74,46921178.98,25.97
C0291,645911.84,47567090.83,26.32
C0146,640857.21,48207948.03,26.68
C0043,639510.69,48847458.72,27.03
C0615,637639.49,49485098.21,27.38
C0445,636152.16,50121250.38,27.74
C0138,630518.86,50751769.24,28.09
C0539,629003.53,51380772.77,28.43
C0631,626673.7,52007446.47,28.78
C0548,626486.24,52633932.7,29.13
C0541,624410.87,53258343.57,29.47
C0546,618779.23,53877122.8,29.82
C0537,617870.27,54494993.08,30.16
C0236,615535.93,55110529.0,30.5
C0550,612178.16,55722707.16,30.84
C0088,611721.03,56334428.19,31.18
C0045,607487.78,56941915.97,31.51
C0306,604678.12,57546594.1,31.85
C0228,599371.27,58145965.37,32.18
C0394,596727.75,58742693.12,32.51
C0429,596706.06,59339399.18,32.84
C0554,592724.43,59932123.61,33.17
C0157,591464.41,60523588.02,33.49
C0050,588888.99,61112477.01,33.82
C0011,587698.34,61700175.35,34.14
