cohort_month,cohort_customers,month_0,month_1,month_2,month_3,retention_0_pct,retention_1_pct,retention_2_pct,retention_3_pct
2025-01,38,5,0,2,0,13.16,0.0,5.26,0.0
2025-02,33,3,1,2,3,9.09,3.03,6.06,9.09
2025-03,36,3,3,2,3,8.33,8.33,5.56,8.33
2025-04,36,2,2,4,5,5.56,5.56,11.11,13.89
2025-05,41,5,3,5,4,12.2,7.32,12.2,9.76
2025-06,39,4,4,2,3,10.26,10.26,5.13,7.69
2025-07,46,4,4,4,6,8.7,8.7,8.7,13.04
2025-08,48,6,9,6,4,12.5,18.75,12.5,8.33
2025-09,37,4,4,2,5,10.81,10.81,5.41,13.51
2025-10,47,6,6,5,4,12.77,12.77,10.64,8.51
2025-11,43,11,1,1,1,25.58,2.33,2.33,2.33
2025-12,41,3,4,4,1,7.32,9.76,9.76,2.44
2026-01,41,5,0,2,1,12.2,0.0,4.88,2.44
2026-02,29,1,4,2,3,3.45,13.79,6.9,10.34
2026-03,36,4,3,3,4,11.11,8.33,8.33,11.11
2026-04,39,5,6,5,2,12.82,15.38,12.82,5.13
2026-05,20,1,4,1,0,5.0,20.0,5.0,0.0
