customer_id,current_order_id,current_order_date,current_order_value,previous_order_id,previous_order_date,previous_order_value,value_change
C0001,O00187,2025-08-13,406280.24,,,,406280.24
C0001,O00517,2026-01-04,7109.46,O00187,2025-08-13,406280.24,-399170.79
C0001,O00693,2026-05-25,12705.6,O00517,2026-01-04,7109.46,5596.14
C0002,O00599,2025-08-27,47127.71,,,,47127.71
C0002,O00198,2025-09-20,422284.8,O00599,2025-08-27,47127.71,375157.09
C0004,O00885,2026-03-31,47332.29,,,,47332.29
C0007,O00969,2025-07-26,91040.0,,,,91040.0
C0007,O00059,2026-04-14,4534.6,O00969,2025-07-26,91040.0,-86505.4
C0007,O00030,2026-05-10,125052.24,O00059,2026-04-14,4534.6,120517.64
C0008,O01190,2025-01-10,205603.27,,,,205603.27
C0008,O00715,2025-01-17,17107.28,O01190,2025-01-10,205603.27,-188495.99
C0008,O01191,2025-04-10,251830.85,O00715,2025-01-17,17107.28,234723.57
C0009,O00477,2025-10-03,147614.42,,,,147614.42
C0009,O00151,2025-12-02,21016.98,O00477,2025-10-03,147614.42,-126597.44
C0009,O00468,2025-12-19,67168.51,O00151,2025-12-02,21016.98,46151.53
C0009,O00437,2026-06-15,202795.58,O00468,2025-12-19,67168.51,135627.07
C0010,O01033,2025-01-03,80446.8,,,,80446.8
C0010,O00241,2026-06-10,183815.21,O01033,2025-01-03,80446.8,103368.41
C0010,O00339,2026-06-28,144597.54,O00241,2026-06-10,183815.21,-39217.67
C0011,O00810,2025-09-17,172686.15,,,,172686.15
C0011,O00071,2025-12-06,238399.61,O00810,2025-09-17,172686.15,65713.46
C0011,O00467,2026-02-27,176612.57,O00071,2025-12-06,238399.61,-61787.04
C0012,O00139,2025-05-03,10981.15,,,,10981.15
C0013,O01102,2026-02-20,142106.31,,,,142106.31
C0013,O00741,2026-05-23,143334.87,O01102,2026-02-20,142106.31,1228.56
C0014,O00823,2026-05-03,68912.2,,,,68912.2
C0015,O00814,2025-03-11,216889.95,,,,216889.95
C0016,O00623,2025-06-02,206475.33,,,,206475.33
C0017,O00703,2026-07-01,46584.42,,,,46584.42
C0018,O01198,2025-01-04,90289.64,,,,90289.64
C0018,O00793,2026-01-18,19048.16,O01198,2025-01-04,90289.64,-71241.48
C0021,O00845,2025-11-09,345637.95,,,,345637.95
C0021,O00228,2026-05-02,191467.83,O00845,2025-11-09,345637.95,-154170.12
C0025,O00347,2025-03-15,277350.76,,,,277350.76
C0025,O00154,2025-06-04,165191.56,O00347,2025-03-15,277350.76,-112159.2
C0025,O01013,2025-12-15,362896.1,O00154,2025-06-04,165191.56,197704.54
C0027,O01061,2025-12-14,13741.83,,,,13741.83
C0028,O00842,2025-12-24,58841.72,,,,58841.72
C0029,O01052,2025-03-06,221690.21,,,,221690.21
C0030,O00865,2025-07-26,28824.46,,,,28824.46
C0031,O01075,2026-01-07,151484.11,,,,151484.11
C0031,O00830,2026-05-25,274753.44,O01075,2026-01-07,151484.11,123269.33
C0032,O00167,2025-11-03,107913.18,,,,107913.18
C0032,O00354,2026-01-26,173975.32,O00167,2025-11-03,107913.18,66062.15
C0033,O00001,2025-07-13,86802.17,,,,86802.17
C0033,O00479,2026-01-16,66577.46,O00001,2025-07-13,86802.17,-20224.7
C0034,O00588,2025-12-24,210614.92,,,,210614.92
C0034,O00194,2026-02-05,177939.84,O00588,2025-12-24,210614.92,-32675.08
C0035,O00201,2025-08-19,142314.41,,,,142314.41
C0035,O00739,2026-04-27,11457.49,O00201,2025-08-19,142314.41,-130856.92
C0036,O00217,2026-05-03,361642.56,,,,361642.56
C0037,O00250,2026-03-05,133784.23,,,,133784.23
C0037,O00701,2026-03-25,38685.31,O00250,2026-03-05,133784.23,-95098.92
C0039,O01153,2025-07-26,388151.48,,,,388151.48
C0039,O00271,2026-06-01,221390.45,O01153,2025-07-26,388151.48,-166761.03
C0039,O00186,2026-07-10,208717.97,O00271,2026-06-01,221390.45,-12672.49
C0041,O00571,2025-09-09,102339.84,,,,102339.84
C0043,O00568,2025-09-10,150232.58,,,,150232.58
C0043,O00096,2026-01-11,57166.39,O00568,2025-09-10,150232.58,-93066.19
C0043,O00903,2026-01-15,90546.47,O00096,2026-01-11,57166.39,33380.08
C0043,O00678,2026-01-27,341565.25,O00903,2026-01-15,90546.47,251018.78
C0044,O00219,2025-08-05,164401.85,,,,164401.85
C0044,O00485,2025-11-27,8492.9,O00219,2025-08-05,164401.85,-155908.94
C0044,O00866,2026-07-18,92084.14,O00485,2025-11-27,8492.9,83591.24
C0045,O00502,2025-04-09,186086.25,,,,186086.25
C0045,O00157,2025-05-26,154197.64,O00502,2025-04-09,186086.25,-31888.61
C0045,O01048,2026-05-23,233484.01,O00157,2025-05-26,154197.64,79286.37
C0045,O00723,2026-05-25,33719.88,O01048,2026-05-23,233484.01,-199764.13
C0046,O00145,2025-08-22,265926.29,,,,265926.29
C0046,O00070,2025-12-30,33811.64,O00145,2025-08-22,265926.29,-232114.66
C0046,O00212,2026-01-26,206320.3,O00070,2025-12-30,33811.64,172508.66
C0047,O00285,2025-04-08,227956.43,,,,227956.43
C0048,O00310,2025-12-13,178047.69,,,,178047.69
C0048,O00379,2026-02-02,16283.05,O00310,2025-12-13,178047.69,-161764.64
C0049,O00764,2025-08-21,232886.57,,,,232886.57
C0049,O00851,2026-07-03,14030.28,O00764,2025-08-21,232886.57,-218856.29
C0050,O00312,2025-05-18,216675.13,,,,216675.13
C0050,O01138,2026-03-31,204508.26,O00312,2025-05-18,216675.13,-12166.86
C0050,O00272,2026-07-02,167705.6,O01138,2026-03-31,204508.26,-36802.66
C0051,O00589,2025-11-02,457388.56,,,,457388.56
C0051,O00587,2026-07-25,85537.01,O00589,2025-11-02,457388.56,-371851.55
C0052,O00627,2025-01-30,175018.47,,,,175018.47
C0052,O00172,2025-12-06,-96979.49,O00627,2025-01-30,175018.47,-271997.96
C0052,O00283,2026-04-13,243929.4,O00172,2025-12-06,-96979.49,340908.89
C0053,O00014,2026-07-03,235407.07,,,,235407.07
C0054,O00884,2025-12-01,168925.25,,,,168925.25
C0054,O01046,2026-04-10,262102.17,O00884,2025-12-01,168925.25,93176.92
C0055,O00322,2025-04-20,126189.16,,,,126189.16
C0056,O00753,2026-05-31,241651.27,,,,241651.27
C0057,O00748,2025-03-24,18746.41,,,,18746.41
C0057,O00775,2026-04-02,38515.55,O00748,2025-03-24,18746.41,19769.14
C0058,O00004,2025-08-11,301540.85,,,,301540.85
C0061,O00289,2025-04-26,303361.96,,,,303361.96
C0062,O00132,2025-01-15,198244.75,,,,198244.75
C0062,O01026,2025-10-24,27525.77,O00132,2025-01-15,198244.75,-170718.98
C0062,O00859,2026-03-21,230393.08,O01026,2025-10-24,27525.77,202867.31
C0063,O00007,2025-08-15,15813.65,,,,15813.65
C0063,O00643,2026-01-24,237453.7,O00007,2025-08-15,15813.65,221640.05
C0064,O00551,2025-11-06,39083.26,,,,39083.26
C0065,O00351,2025-01-07,314004.78,,,,314004.78
C0065,O00712,2025-02-16,24806.67,O00351,2025-01-07,314004.78,-289198.11
C0065,O00082,2025-07-30,-80703.24,O00712,2025-02-16,24806.67,-105509.91
C0066,O01111,2026-02-05,106720.49,,,,106720.49
C0066,O00861,2026-03-22,138949.64,O01111,2026-02-05,106720.49,32229.15
C0067,O01056,2025-03-04,323414.67,,,,323414.67
C0067,O01087,2026-04-27,173014.79,O01056,2025-03-04,323414.67,-150399.87
C0068,O01145,2026-02-03,70347.38,,,,70347.38
C0068,O00784,2026-05-02,84052.01,O01145,2026-02-03,70347.38,13704.63
C0069,O00853,2025-04-08,143095.08,,,,143095.08
C0069,O00221,2025-11-24,340647.69,O00853,2025-04-08,143095.08,197552.61
C0069,O00750,2026-01-11,103011.82,O00221,2025-11-24,340647.69,-237635.88
C0070,O00336,2026-06-23,10353.82,,,,10353.82
C0071,O00121,2025-05-17,30179.36,,,,30179.36
C0071,O00065,2025-08-03,8523.35,O00121,2025-05-17,30179.36,-21656.01
C0072,O01158,2025-01-07,111508.29,,,,111508.29
C0072,O00642,2026-04-01,161550.99,O01158,2025-01-07,111508.29,50042.7
C0072,O01114,2026-05-16,163781.52,O00642,2026-04-01,161550.99,2230.54
C0072,O00695,2026-05-18,92408.29,O01114,2026-05-16,163781.52,-71373.24
C0073,O00129,2025-09-04,42053.92,,,,42053.92
C0073,O00508,2025-09-30,82851.84,O00129,2025-09-04,42053.92,40797.92
C0073,O00921,2025-11-27,32091.98,O00508,2025-09-30,82851.84,-50759.86
C0074,O01098,2025-10-11,184699.89,,,,184699.89
C0075,O00131,2025-06-26,69146.62,,,,69146.62
C0076,O00049,2025-10-30,78686.88,,,,78686.88
C0077,O00027,2026-06-21,165646.45,,,,165646.45
C0079,O00370,2025-09-27,67207.35,,,,67207.35
C0079,O00854,2026-05-02,410751.67,O00370,2025-09-27,67207.35,343544.32
C0080,O00662,2025-09-09,361269.2,,,,361269.2
C0080,O00148,2026-03-03,323079.78,O00662,2025-09-09,361269.2,-38189.43
C0081,O00451,2026-05-15,29512.84,,,,29512.84
C0082,O00506,2025-08-02,193359.72,,,,193359.72
C0082,O00457,2025-08-29,194861.07,O00506,2025-08-02,193359.72,1501.35
C0083,O00698,2026-01-10,117789.57,,,,117789.57
C0086,O00867,2025-01-21,92233.41,,,,92233.41
C0086,O01165,2025-01-21,5590.74,O00867,2025-01-21,92233.41,-86642.67
C0087,O00170,2026-01-17,106013.43,,,,106013.43
C0088,O00532,2025-02-20,249975.76,,,,249975.76
C0088,O00824,2025-04-18,106589.28,O00532,2025-02-20,249975.76,-143386.48
C0088,O00970,2025-12-16,67993.91,O00824,2025-04-18,106589.28,-38595.37
C0088,O00069,2026-07-04,187162.08,O00970,2025-12-16,67993.91,119168.17
